trip_id,driver_id,customer_id,pickup_datetime,dropoff_datetime,pickup_location_id,dropoff_location_id,city,distance_km,duration_minutes,vehicle_type,fare_amount,tip_amount,surge_multiplier,payment_type,status,hour_of_day,day_of_week,month_name,month_num,year,is_weekend,time_of_day
T000001,D0031,C01562,2023-11-10 19:38:31,2023-11-10 20:01:07,L024,L022,Houston,9.27,22.6,Economy,16.35,0,1.2,Cash,Completed,19,Friday,November,11,2023,No,Evening
T000002,D0375,C02731,2024-12-03 08:47:14,2024-12-03 09:39:20,L030,L027,Phoenix,17.19,52.1,SUV,46.06,0,1.2,Card,Completed,8,Tuesday,December,12,2024,No,Morning
T000003,D0232,C01708,2023-11-06 07:29:59,2023-11-06 08:04:11,L005,L006,New York,11.69,34.2,Economy,19.83,0,1.2,Card,Completed,7,Monday,November,11,2023,No,Morning
T000004,D0416,C02471,2024-09-06 22:35:55,2024-09-06 23:01:43,L011,L013,Los Angeles,12.03,25.8,Premium,35.08,0,1.0,Cash,Completed,22,Friday,September,9,2024,No,Night
T000005,D0356,C02909,2024-01-20 14:11:33,2024-01-20 14:36:45,L027,L026,Phoenix,11.37,25.2,SUV,26.74,0,1.0,Card,Completed,14,Saturday,January,1,2024,Yes,Afternoon
T000006,D0135,C02491,2024-09-23 09:20:14,2024-09-23 09:49:56,L029,L026,Phoenix,9.13,29.7,Economy,13.46,0,1.0,Wallet,Completed,9,Monday,September,9,2024,No,Morning
T000007,D0001,C00273,2023-08-13 10:41:08,2023-08-13 11:05:56,L006,L001,New York,12.6,24.8,Economy,17.62,0,1.0,Wallet,Completed,10,Sunday,August,8,2023,Yes,Morning
T000008,D0468,C02671,2024-05-28 09:02:39,2024-05-28 09:34:21,L018,L017,Chicago,11.34,31.7,Economy,19.33,0,1.2,Card,Completed,9,Tuesday,May,5,2024,No,Morning
T000009,D0088,C02604,2024-10-17 16:08:04,2024-10-17 16:22:46,L016,L015,Chicago,7.04,14.7,Bike,5.22,0,1.0,Card,Completed,16,Thursday,October,10,2024,No,Afternoon
T000010,D0223,C00047,2023-09-13 17:45:48,2023-09-13 18:28:30,L011,L012,Los Angeles,14.4,42.7,SUV,32.8,0,1.0,Card,Completed,17,Wednesday,September,9,2023,No,Evening
T000011,D0335,C00420,2024-04-28 21:35:07,2024-04-28 22:03:01,L020,L023,Houston,14.52,27.9,Premium,41.3,10.13,1.0,Wallet,Completed,21,Sunday,April,4,2024,Yes,Night
T000012,D0312,C00540,2024-11-14 00:30:41,2024-11-14 00:56:59,L024,L023,Houston,13.78,26.3,SUV,31.56,4.16,1.0,Corporate,Completed,0,Thursday,November,11,2024,No,Night
T000013,D0216,C01968,2023-04-29 18:41:07,2023-04-29 19:14:49,L028,L030,Phoenix,11.71,33.7,Economy,24.83,0,1.5,Wallet,Completed,18,Saturday,April,4,2023,Yes,Evening
T000014,D0058,C02912,2023-05-07 11:04:40,2023-05-07 11:34:58,L014,L015,Chicago,16.1,30.3,XL,32.48,0,1.0,Cash,Completed,11,Sunday,May,5,2023,Yes,Morning
